0 0.00140386 0.00142821 0.00142816
0.01 0.00140386 0.00142821 0.00142816
0.02 0.00140381 0.00142816 0.0014281
0.03 0.00140285 0.00142705 0.00142699
0.04 0.00140189 0.00142594 0.00142588
0.05 0.00140093 0.00142483 0.00142477
0.06 0.00139983 0.00142356 0.00142351
0.07 0.00139791 0.00142134 0.00142129
0.08 0.00139598 0.00141912 0.00141907
0.09 0.00139406 0.0014169 0.00141685
0.1 0.00139191 0.00141442 0.00141437
0.11 0.00138901 0.00141109 0.00141104
0.12 0.00138611 0.00140776 0.00140771
0.13 0.00138322 0.00140443 0.00140438
0.14 0.00138 0.00140074 0.00140069
0.15 0.00137612 0.0013963 0.00139625
0.16 0.00137224 0.00139186 0.00139181
0.17 0.00136835 0.00138742 0.00138737
0.18 0.00136405 0.00138251 0.00138246
0.19 0.00135917 0.00137696 0.00137691
0.2 0.00135429 0.00137141 0.00137137
0.21 0.00134941 0.00136586 0.00136582
0.22 0.001344 0.00135973 0.00135969
0.23 0.0013381 0.00135307 0.00135304
0.24 0.0013322 0.00134641 0.00134638
0.25 0.0013263 0.00133975 0.00133972
0.26 0.00131976 0.00133241 0.00133238
0.27 0.00131282 0.00132464 0.00132461
0.28 0.00130588 0.00131687 0.00131684
0.29 0.00129893 0.0013091 0.00130907
0.3 0.00129124 0.00130055 0.00130052
0.31 0.00128324 0.00129167 0.00129164
0.32 0.00127523 0.00128278 0.00128276
0.33 0.00126722 0.0012739 0.00127388
0.34 0.00125834 0.00126414 0.00126411
0.35 0.00124924 0.00125414 0.00125412
0.36 0.00124015 0.00124415 0.00124413
0.37 0.00123105 0.00123416 0.00123414
0.38 0.00122095 0.00122317 0.00122316
0.39 0.00121074 0.00121207 0.00121206
0.4 0.00120052 0.00120097 0.00120096
0.41 0.0011903 0.00118986 0.00118986
0.42 0.00117896 0.00117767 0.00117766
0.43 0.0011676 0.00116545 0.00116545
0.44 0.00115624 0.00115324 0.00115323
0.45 0.00114479 0.00114094 0.00114093
0.46 0.00113225 0.00112761 0.00112761
0.47 0.00111972 0.00111428 0.00111429
0.48 0.00110719 0.00110096 0.00110096
0.49 0.00109445 0.00108744 0.00108745
0.5 0.00108072 0.001073 0.00107301
0.51 0.001067 0.00105856 0.00105858
0.52 0.00105327 0.00104413 0.00104414
0.53 0.00103922 0.00102939 0.00102941
0.54 0.00102427 0.00101384 0.00101386
0.55 0.00100932 0.000998292 0.000998309
0.56 0.000994371 0.000982741 0.00098276
0.57 0.000978976 0.00096679 0.00096681
0.58 0.000962786 0.000950124 0.000950146
0.59 0.000946595 0.000933458 0.000933481
0.6 0.000930405 0.000916793 0.000916817
0.61 0.000913643 0.000899621 0.000899647
0.62 0.000896193 0.000881838 0.000881865
0.63 0.000878743 0.000864056 0.000864084
0.64 0.000861293 0.000846273 0.000846302
0.65 0.000843147 0.000827879 0.000827909
0.66 0.000824426 0.000808978 0.000809009
0.67 0.000805705 0.000790077 0.000790109
0.68 0.000786984 0.000771176 0.000771209
0.69 0.000767447 0.000751558 0.000751592
0.7 0.000747453 0.000731539 0.000731573
0.71 0.000727458 0.000711519 0.000711555
0.72 0.000707464 0.0006915 0.000691536
0.73 0.000686539 0.000670661 0.000670698
0.74 0.000665277 0.000649526 0.000649563
0.75 0.000644016 0.000628391 0.000628428
0.76 0.000622754 0.000607256 0.000607293
0.77 0.000600449 0.000585195 0.000585233
0.78 0.000577926 0.000562942 0.00056298
0.79 0.000555404 0.000540689 0.000540727
0.8 0.000532881 0.000518436 0.000518474
0.81 0.000509203 0.000495147 0.000495185
0.82 0.000485427 0.00047177 0.000471807
0.83 0.000461651 0.000448393 0.00044843
0.84 0.000437855 0.000424998 0.000425036
0.85 0.000412842 0.000400496 0.000400533
0.86 0.000387829 0.000375994 0.000376031
0.87 0.000362816 0.000351492 0.000351528
0.88 0.000337644 0.000326853 0.000326889
0.89 0.000311185 0.000301099 0.000301133
0.9 0.000284726 0.000275345 0.000275378
0.91 0.000258268 0.000249591 0.000249623
0.92 0.000231449 0.000223535 0.000223565
0.93 0.000203221 0.000196297 0.000196323
0.94 0.000174993 0.000169058 0.000169081
0.95 0.000146764 0.000141819 0.000141839
0.96 0.000118118 0.000114184 0.0001142
0.97 8.84812e-05 8.56092e-05 8.56213e-05
0.98 5.88443e-05 5.70347e-05 5.70422e-05
0.99 2.92075e-05 2.84603e-05 2.84632e-05
