0 10 10 10
0.1 7.63064 7.71899 7.94591
0.2 7.02127 7.11333 7.30153
0.3 7.10601 7.16953 7.25046
0.4 7.1025 7.14353 7.17017
0.5 7.05652 7.08165 7.08769
0.6 7.01172 7.02574 7.0233
0.7 6.96757 6.97439 6.96839
0.8 6.92269 6.92499 6.91742
0.9 6.87758 6.87724 6.86898
1 6.83262 6.83078 6.82324
1.1 6.78793 6.78528 6.77987
1.2 6.74357 6.74027 6.7367
1.3 6.69958 6.69541 6.69183
1.4 6.65603 6.65044 6.64575
1.5 6.613 6.6055 6.57004
1.6 6.57063 6.56077 6.50735
1.7 6.52921 6.51592 6.45405
1.8 6.48946 6.4442 6.40115
1.9 6.45034 6.34353 6.34852
2 6.33443 6.2909 6.29667
2.1 6.22349 6.24043 6.24594
2.2 6.1801 6.19195 6.19643
2.3 6.13681 6.14486 6.1481
2.4 6.09323 6.09862 6.10078
2.5 6.04944 6.05299 6.05431
2.6 6.00548 6.00776 6.00847
2.7 5.96138 5.96281 5.96314
2.8 5.91719 5.91806 5.91815
2.9 5.87293 5.87345 5.87341
3 5.82865 5.82893 5.82884
3.1 5.78434 5.78449 5.78438
3.2 5.74003 5.7401 5.73999
3.3 5.69572 5.69574 5.69564
3.4 5.6514 5.6514 5.65132
3.5 5.60709 5.60707 5.60702
3.6 5.56277 5.56276 5.56272
3.7 5.51847 5.51845 5.51842
3.8 5.47416 5.47414 5.47413
3.9 5.42985 5.42984 5.42983
4 5.38554 5.38554 5.38553
4.1 5.34124 5.34123 5.34123
4.2 5.29693 5.29693 5.29693
4.3 5.25263 5.25263 5.25263
4.4 5.20833 5.20832 5.20833
4.5 5.16402 5.16402 5.16403
4.6 5.11972 5.11972 5.11972
4.7 5.07541 5.07541 5.07542
4.8 5.03111 5.03111 5.03111
4.9 4.9868 4.9868 4.98681
5 4.94249 4.94249 4.9425
5.1 4.89819 4.89819 4.8982
5.2 4.85388 4.85388 4.85389
5.3 4.80957 4.80958 4.80958
5.4 4.76527 4.76527 4.76528
5.5 4.72096 4.72096 4.72097
5.6 4.67665 4.67665 4.67666
5.7 4.63235 4.63235 4.63235
5.8 4.58804 4.58804 4.58804
5.9 4.54373 4.54373 4.54374
6 4.49942 4.49942 4.49943
6.1 4.45512 4.45512 4.45512
6.2 4.41081 4.41081 4.41081
6.3 4.3665 4.3665 4.3665
6.4 4.32219 4.32219 4.3222
6.5 4.27788 4.27788 4.27789
6.6 4.23357 4.23358 4.23358
6.7 4.18927 4.18927 4.18927
6.8 4.14496 4.14496 4.14496
6.9 4.10065 4.10065 4.10065
7 4.05634 4.05634 4.05635
7.1 4.01203 4.01204 4.01204
7.2 3.96772 3.96773 3.96773
7.3 3.92341 3.92342 3.92343
7.4 3.8791 3.87912 3.87913
7.5 3.83479 3.83482 3.83483
7.6 3.79048 3.79051 3.79054
7.7 3.74616 3.74621 3.74626
7.8 3.70183 3.70192 3.70199
7.9 3.6575 3.65762 3.65773
8 3.61316 3.61332 3.61349
8.1 3.56879 3.56902 3.56928
8.2 3.52441 3.52471 3.5251
8.3 3.47999 3.48038 3.48094
8.4 3.43553 3.43603 3.43682
8.5 3.39101 3.39162 3.39273
8.6 3.34642 3.34712 3.34865
8.7 3.30175 3.30248 3.30454
8.8 3.25698 3.25762 3.26033
8.9 3.21212 3.21242 3.21588
9 3.16718 3.16671 3.17096
9.1 3.12223 3.12021 3.12513
9.2 3.07741 3.07265 3.07773
9.3 3.03312 3.0236 3.02749
9.4 2.98979 2.9727 2.97273
9.5 2.9462 2.91748 2.90828
9.6 2.90309 2.85773 2.82629
9.7 2.90283 2.83421 2.74634
9.8 2.97793 2.88141 2.68795
9.9 2.35381 2.26339 2.03639
10 2.58502e-13 2.47697e-13 2.17618e-13
